species,temp_opt_min,Temp_Opt_Max,Rain_Opt_Min,Rain_Opt_Max,Lat_Opt_Min,Lat_Opt_Max,Alt_Opt_Min,Alt_Opt_Max,pH_Opt_Min,pH_Opt_Max,Light_Opt_Min,Light_Opt_Max,Texture_Ops
Abelmoschus esculentus,20,30,600,1200,-,-,---,---,5.5,7,clear skies,clear skies,"heavy, medium, light, organic"
Abelmoschus manihot,22,30,1200,2000,-,-,---,---,5.5,7,very bright,clear skies,"medium, organic"
Abelmoschus moschatus,20,30,1000,1400,-,-,---,---,5.5,7,cloudy skies,very bright,"medium, organic"
Acacia auriculiformis,24,32,1200,2500,10,7,---,---,6,8,very bright,very bright,"heavy, medium, light"
Acacia farnesiana,20,32,400,1400,12,12,---,---,6.5,7,very bright,clear skies,"medium, light"
Acacia holosericea,24,32,600,1200,13,11,---,---,5.5,7.5,very bright,very bright,"medium, light"
Adenanthera pavonina,22,28,3000,5000,-,-,---,---,5,7,cloudy skies,clear skies,"medium, light"
Aeschynomene americana,22,30,1000,1500,-,-,---,---,5.5,7,clear skies,clear skies,"heavy, medium, light"
Agathis australis,14,24,1200,1600,34,34,---,---,4.8,5.5,very bright,clear skies,"medium, light"
Agathis macrophylla,22,32,4000,5000,-,-,---,---,4.5,6,very bright,clear skies,"heavy, medium"
Agathis robusta,18,30,1500,3000,15,15,---,---,5.5,7,very bright,clear skies,"medium, light"
Agave sisalana,15,27,900,1250,10,10,---,---,6,7.5,very bright,clear skies,"medium, light"
Albizia falcataria,22,31,2000,4000,-,-,---,---,5.5,7.3,very bright,clear skies,"heavy, medium"
Albizia lebbeck,26,36,600,2000,11,11,---,---,6,7,very bright,clear skies,medium
Albizia procera,20,33,1500,2500,-,-,---,---,5.5,6.5,very bright,very bright,medium
Albizia stipulata,22,34,2000,2400,20,20,---,---,5.5,6.5,very bright,cloudy skies,medium
Aleurites fordii,17,22,1000,1200,29,29,---,---,6,7,very bright,clear skies,medium
Aleurites moluccana,18,28,1000,1800,-,-,---,---,5,8,very bright,very bright,medium
Aleurites montana,25,30,1500,2100,10,10,---,---,5,6.5,clear skies,cloudy skies,"heavy, medium, light"
Allium ampeloprasum,18,24,750,1000,-,-,---,---,6,6.5,clear skies,clear skies,"medium, organic"
Allium cepa,12,25,350,600,-,-,---,---,6,7,clear skies,clear skies,"medium, organic"
Allium fistulosum,12,25,850,1600,-,-,---,---,6.6,7.4,clear skies,clear skies,"medium, organic"
Allium sativum,18,30,750,1600,-,-,---,---,6,6.6,clear skies,clear skies,"medium, light"
Alstonia scholaris,22,28,1200,3000,5,-,---,---,5.5,6.5,very bright,very bright,medium
Amaranthus cruentus,22,28,2000,2400,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium, light, organic"
Amaranthus sp.,19,30,1100,1400,-,-,---,---,5.5,7.5,very bright,very bright,"heavy, medium, light, organic"
Amorphophallus paeoniifolius,28,35,1000,1500,-,-,---,---,5.5,6.2,clear skies,clear skies,"medium, organic"
Anacardium occidentale,15,35,750,1600,-,-,---,---,4.5,6.5,very bright,very bright,"medium, light"
